article_number,structural_index,entity_type,concept,subject,action,object,legal_force,full_text
제2조제6호다목,[],REGULATION,전자적 투자조언장치,투자조언업,갖출,요건,MANDATORY,"제2조제6호다목다목에서 ""금융위원회가 정하여 고시하는 요건""이란 다음 각 호의 요건을 말한다. 1. 전자적 투자조언장치를 활용하는 업무의 종류에 따라 다음 각 목의 요건을 갖출 것 가. 집합투자재산을 운용하는 경우 : 전자적 투자조언장치의 활용이 집합투자규약등에 명기된 투자목적ㆍ투자 방침과 투자전략 등에 부합하는지 주기적으로 점검할 것 나. 투자자문업 또는 투자일임업을 수행하는 경우 : 다음의 요건을 갖출 것 1) 투자자문의 내용 또는 투자일임재산에 포함된 투자대상자산이 하나의 종류ㆍ종목에 집중되지 아니할 것 2) 매 분기별로 1회 이상 다음의 사항을 평가하여 투자자문의 내용 또는 투자일임재산의 운용방법의 변경이 필요하다고 인정되는 경우 그 투자자문의 내용 또는 투자일임재산의 운용방법을 변경할 것 가) 투자자문 내용 또는 투자일임재산의 안전성 및 수익성 나) 영"
제2조제6호가목2,[],REGULATION,전문인력,,둘,전문인력,MANDATORY,제2조제6호가목2)에 따른 투자자의 투자성향 분석을 고려하여 투자자문의 내용 또는 투자일임재산 에 포함된 투자대상자산의 종목ㆍ수량 등이 적합한지 여부 2. 전자적 투자조언장치를 유지ㆍ보수하기 위하여 별표 29의 요건을 갖춘 전문인력을 1인 이상 둘 것 3. 영
제2조제6호가목부터 다목까지,[],PROCEDURE,요건 심사 절차,심의위원회,수행,요건 심사 절차,MANDATORY,제2조제6호가목부터 다목까지의 요건을 충족하는지를 확인하기 위하여 ㈜코스콤의 지원을 받아 외부전문 가로 구성된 심의위원회가 수행하는 요건 심사 절차를 거칠 것 법제처 2 국가법령정보센터 금융투자업규정 제1-2조의3(파생상품에서 제외되는 파생결합증권) 영
제4조의3제1호,"[4, None, 3, 1]",DEFINITION,기초자산,금융위원회,정하는,기초자산,DEFINITIONAL,"제4조의3제1호에서 ""금융위원회가 정하여 고시하는 기초자산""이란 다음 각 호의 어느 하나에 해당하는 것을 말한다. 1. 금융투자상품 2. 통화(외국통화를 포함한다) 3. 일반상품(법"
제4조,[],DEFINITION,일반상품,일반상품,말한다,,DEFINITIONAL,제4조제10항제3호에 따른 일반상품을 말한다) 4. 신용위험(법
제4조제10항제4호,"[None, None, 4, 10]",DEFINITION,신용위험,신용위험,말한다,,DEFINITIONAL,제4조제10항제4호에 따른 신용위험을 말한다)<개정 2019. 5. 21.> 제1-2조의4(고난도금융투자상품 등) ① 영
제2조제7호,[],DEFINITION,최대원금손실 가능금액,금융위원회,산정,최대원금손실 가능금액,DEFINITIONAL,"제2조제7호 각 목 외의 부분 본문에서 ""금융위원회가 정하여 고시하는 방법으로 산정한 최대원금손실 가능금액""이란 다음 각 호와 같다. 1. 영"
제2조제7호 가목,[],DEFINITION,파생결합증권,,,,DEFINITIONAL,제2조제7호 가목의 파생결합증권 및 영
Unknown,[],REGULATION,Unknown,,,,,제2조제7호 나목의 파생상품 : 해당 금융투자상품의 매매 또는 계 약을 위하여 지급하였거나 지급하여야 할 금전 등의 총액(영
제3조제1항,[],REGULATION,총액,,제외,금액,MANDATORY,제3조제1항 각 호의 금액을 제외한다)으로부터 회 수하였거나 만기시까지(중도해지 시점을 포함한다) 회수가 보장된 금전 등의 총액(영
제3조제2항,"[None, None, 3, 2]",REGULATION,금액,각 호의 금액,포함한다,,MANDATORY,제3조제2항 각 호의 금액 을 포함한다)을 제외한 금액 2. 영
제2조제7호,[],DEFINITION,다목에 따른 집합투자증권,,,,DEFINITIONAL,제2조제7호 다목에 따른 집합투자증권 : 집합투자재산 중 영
제2조제7호,"[None, None, 2, 7]",DEFINITION,최대 원금손실 가능금액,한국금융투자협회,산정,금액,DEFINITIONAL,제2조제7호 각 목의 금융투자상품(국내외 증권시장 및 국내외 파생상품시장에 상장되어 거래되는 상품을 포함한다)에서 발생할 수 있는 최대 원금손실 가능금액으로서 한국금융투자협회가 정하는 방법으로 산정된 금액 ② 영
