article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제1조	[]	CONCEPT	목적	이 영	규정함	위임된 사항과 시행에 필요한 사항		제1조(목적) 이 영은 「금융회사의 지배구조에 관한 법률」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적 으로 한다.
제2조	[]	DEFINITION	금융회사의 지배구조에 관한 법률	법	이라 한다	금융회사의 지배구조에 관한 법률	DEFINITIONAL	제2조(금융회사의 범위) 「금융회사의 지배구조에 관한 법률」(이하 “법”이라 한다)
제2조제1호사목	[]	DEFINITION	대통령령으로 정하는 회사				DEFINITIONAL	제2조제1호사목에서 “대통령령으로 정하는 회사”란 다음 각 호의 어느 하나에 해당하는 자를 말한다. <개정 2016. 10. 25.> 1. 「한국산업은행법」에 따른 한국산업은행 2. 「중소기업은행법」에 따른 중소기업은행 3. 「농업협동조합법」에 따른 농협은행 4. 「수산업협동조합법」에 따른 수협은행
제3조	[]	DEFINITION	특수관계인				DEFINITIONAL	제3조(특수관계인의 범위) ① 법
제2조제6호가목	[]	DEFINITION	특수관계인	본인	말한다	특수관계인	DEFINITIONAL	제2조제6호가목에서 “대통령령으로 정하는 특수한 관계가 있는 자”란 본인과 다음 각 호의 어느 하나에 해당하는 관계가 있는 자(이하 “특수관계인”이라 한다)를 말한다. <개정 2021. 12. 28.> 1. 본인이 개인인 경우: 다음 각 목의 어느 하나에 해당하는 자. 다만, 「독점규제 및 공정거래에 관한 법률 시행령」
제5조제1항제2호가목	[]	REGULATION	독립경영자	독립경영자	제외한다	자	MANDATORY	제5조제1항제2호가목에 따른 독립경영자 및 같은 목에 따라 공정거래위원회가 동일인관련자의 범위로부터 분리 를 인정하는 자는 제외한다.
제2조	[]	DEFINITION	은행		정의한다	은행	DEFINITIONAL	제2조 각 호에 해당하는 자를 포함한다. 이하 “은행 ”이라 한다), 「금융지주회사법」에 따른 금융지주회사(이하 “금융지주회사”라 한다)인 경우에는 다음 각 호의 구분에 따른 자를 특수관계인으로 한다.<개정 2017. 10. 17.> 1. 은행: 「은행법 시행령」
제1조의4	[]	DEFINITION	특수관계인				DEFINITIONAL	제1조의4에 따른 특수관계인 2. 금융지주회사: 「금융지주회사법 시행령」
제3조제1항	[]	PROCEDURE	특수관계인		삭제	특수관계인		제3조제1항에 따른 특수관계인 3. 삭제<2017. 10. 17.>
제4조	[]	DEFINITION	주요주주의 범위				DEFINITIONAL	제4조(주요주주의 범위) 법
